mz	rt	Inten
128.0702	1.92	25.3
130.0853	0.73	90.5
133.0492	0.93	8.8
140.0371	0.86	173.7
141.0535	2.25	16.0
141.0539	3.84	23.7
147.0284	0.99	46.7
147.1122	0.73	140.4
157.0124	0.99	64.0
159.1163	7.62	137.3
159.1169	6.16	94.7
161.1317	8.73	209.3
162.0189	0.84	29.2
163.0749	7.62	186.4
169.094	0.76	155.6
175.1111	6.09	43.2
177.127	6.29	642.6
177.1271	7.82	412.0
178.0885	3.95	38.2
180.1373	3.72	20.4
183.1011	7.08	35.0
183.1012	5.62	252.9
183.1126	4.49	227.1
184.1155	4.49	24.8
185.0416	2.66	41.8
186.0554	2.42	32.6
186.0556	3.2	53.1
186.1122	2.76	33.4
186.9951	9.01	102.4
187.0437	2.25	1.0
191.076	0.71	444.6
191.1064	7.63	335.7
194.0654	8.71	165.0
194.0655	3.22	21.1
197.0816	4.9	19.6
200.0711	4.21	87.3
202.0681	0.76	24.9
203.0222	2.25	29.6
205.1219	8.36	403.2
205.122	6.8	468.7
205.122	7.6	1715.0
206.1253	8.36	55.9
206.1256	7.6	267.9
206.126	6.16	91.1
206.1532	10.3	27.3
207.0496	0.75	168.7
207.1376	8.71	717.5
208.0374	2.42	22.2
208.0942	2.76	16.8
208.0944	1.94	12.8
208.1406	8.71	77.5
214.0709	0.91	9.2
216.4815	1.44	13.3
217.0204	0.95	12.8
219.101	7.65	618.4
219.1011	6.27	121.9
221.1172	6.09	40.4
221.1173	5.18	22.5
221.1173	7.22	73.5
222.1488	8.25	215.5
222.149	7.6	812.5
223.1329	7.82	279.9
223.133	6.29	2686.7
224.1363	6.27	508.6
224.1642	11.56	52.2
224.1642	8.73	4247.7
225.1675	8.71	756.3
226.1694	8.73	40.7
227.0523	2.25	179.0
227.1101	4.97	49.4
227.1752	3.72	301.9
228.0555	2.24	14.5
228.1585	3.8	137.0
228.178	3.72	48.6
229.1197	11.56	48.9
230.0759	2.76	8.2
230.1471	7.13	16.0
232.1288	2.42	17.7
237.1124	6.27	199.0
238.1437	6.09	27.4
240.1229	5.59	319.6
240.159	6.78	199.7
240.1594	6.16	180.5
240.1594	7.62	8317.9
241.1628	7.6	1774.9
242.1653	7.62	131.3
244.0611	2.46	41.5
244.8701	0.76	71.3
244.9538	8.96	23.3
245.1149	7.8	2956.2
246.1184	7.82	479.6
248.1494	2.01	1128.5
248.1567	7.13	25.6
249.0339	2.25	48.0
249.0536	2.59	11.9
249.0858	10.85	41.0
249.1526	2.01	171.0
249.1696	5.79	61.1
251.1021	11.56	869.4
252.1055	11.56	147.2
253.0664	0.82	41.1
253.1076	11.56	11.9
253.3515	7.65	139.0
254.1389	7.63	13348.7
254.9826	9.01	20.3
255.1422	7.63	2751.4
256.1285	2.48	12.2
256.1438	7.63	379.3
256.1545	6.09	989.3
257.1589	6.09	131.8
258.1526	5.59	912.5
259.0942	7.63	4757.8
260.0969	7.63	800.4
260.1605	3.78	197.4
260.8442	0.76	37.3
261.0886	7.82	359.2
261.11	6.09	493.9
262.113	6.09	74.0
262.9808	6.59	36.6
262.9813	9.03	42.3
263.041	4.39	50.0
267.0611	0.71	56.5
267.076	11.56	102.1
267.0962	8.36	124.0
267.097	7.8	1084.8
268.0786	11.58	14.1
268.1003	7.6	59.3
268.9986	8.97	361.3
269.2259	8.51	35.1
270.0013	8.99	13.3
271.1516	5.79	90.0
272.167	7.76	28.6
273.0794	0.71	85.0
273.1454	10.58	13.7
275.0476	2.29	94.1
275.0673	7.65	515.7
277.184	4.25	83.0
278.1749	6.89	23.7
279.0687	0.84	16.8
279.1574	5.79	2.6
279.1576	7.71	13.6
281.0754	7.65	549.2
282.0797	7.63	76.1
283.0708	7.82	79.5
283.0914	6.09	58.2
284.9722	8.99	22.7
285.1483	9.16	57.0
287.2362	8.51	38.0
289.0528	0.75	53.9
289.1396	7.21	16.2
289.2522	8.47	20.5
291.0031	0.97	22.7
291.9587	5.53	8.2
292.0002	5.53	16.5
292.0301	5.53	2.5
292.0473	5.53	2.4
292.1321	7.67	51.3
294.1332	6.33	78.6
295.1064	5.59	107.4
301.1129	5.6	206.4
301.1435	9.14	68.6
301.2155	8.1	26.5
302.1862	11.97	140.6
303.189	11.97	27.0
303.2319	9.63	22.8
303.2647	5.94	11.9
306.8631	0.75	149.6
309.0605	11.56	24.5
311.0331	0.76	42.0
311.2934	15.36	6.6
313.1004	1.57	27.8
313.1407	8.32	44.4
314.1424	9.12	81.9
315.0643	2.25	10.3
318.1812	8.01	96.3
319.1537	9.16	35.2
319.2262	8.1	14.0
321.178	8.04	39.5
322.9657	0.75	5.5
323.0989	4.38	1.3
324.1681	11.95	33.0
329.1382	9.14	122.3
330.1378	7.04	23.0
330.1428	9.16	14.3
333.0106	0.75	47.4
333.0557	2.61	17.6
333.1051	11.58	226.9
334.1087	11.58	37.1
334.2487	7.5	12.6
335.1481	6.27	196.9
340.0723	3.22	28.4
340.1629	8.17	14.2
340.2113	9.42	23.1
344.9837	5.59	53.7
344.9838	2.81	15.3
344.9841	8.97	61.0
344.9851	8.21	48.2
345.1671	9.42	12.8
347.1488	9.14	188.4
348.148	7.04	212.6
348.151	9.14	28.1
349.0794	11.56	30.2
349.1	7.82	137.7
349.1355	5.18	17.7
350.2329	8.32	2708.6
351.0007	8.97	69.2
351.0963	2.25	35.8
351.2363	8.32	747.5
352.1226	5.46	13.3
352.1234	3.99	29.7
352.2386	8.32	107.9
353.1031	7.04	26.7
355.0375	2.63	17.2
355.0823	0.71	449.8
361.0504	3.22	24.6
362.217	4.84	265.6
363.1439	8.58	177.9
363.1441	6.98	735.0
363.1441	6.16	3499.5
363.22	4.9	47.9
364.1468	8.6	39.6
364.148	6.16	831.7
365.1598	9.14	4822.7
366.1631	9.14	1240.8
367.1652	9.14	205.3
368.1381	4.79	25.9
368.1676	9.12	21.9
368.1905	6.95	66.9
369.203	6.55	38.5
371.0565	0.73	229.0
372.2144	8.32	375.5
373.0788	2.25	23.1
373.218	8.3	93.7
376.2334	5.4	28.5
379.1391	7.43	47.4
381.1546	6.27	7976.2
382.1579	6.29	2235.2
382.1866	9.14	40.2
383.1596	6.29	305.6
383.1701	9.12	729.9
384.1734	9.12	146.6
386.2174	9.25	193.7
387.1629	7.95	45.2
387.2212	9.25	40.9
390.2491	5.75	240.8
391.063	11.56	17.9
391.1729	9.25	103.5
391.1839	10.18	51.5
391.2534	5.75	32.2
391.2824	5.75	5.2
392.1764	9.25	25.8
392.1863	10.18	12.1
393.2253	7.13	18.1
395.0591	2.25	25.0
395.1184	5.75	3.4
395.1343	6.48	1679.3
396.1372	6.41	216.0
397.1416	6.41	54.1
397.1491	5.18	140.4
397.1505	7.15	21.6
397.1713	6.41	31.9
398.1805	8.25	3354.9
398.1817	6.98	43.0
398.949	8.71	599.1
399.1651	6.29	7946.4
399.184	8.25	997.7
399.948	8.73	84.6
400.124	5.27	335.6
400.1682	6.27	2079.3
400.1965	8.73	45549.5
401.0768	2.24	27.0
