A_m3_5-Na2K2Ca2-H2O;Time:210715_090453;Compounds:A;Multimer_limit:3;Polarity:positive;Adducts:('Na-H', 2),('K-H', 2),('Ca-2H', 2); Max adduct count:5;Losses:('H2O', 1);Match time: 210726_081137;Peaks file: /Users/ronbonner/Data/SharedData/Stricker spectra/A009 1-1_6 1.3-1.4 min sub gt 10.txt;407 peaks, tic 159118.7, base peak 116.07102, inten 29552.1;Matching amu half window: 0.005;Matching ppm half window: 10 ppm;Looking for <= 4 13C isotopes with half window 0.003;16 matches = 64688.28 (40.7% tic), 16 total matches from 407 peaks;After 13C match 26 matches = 68557.02 (43.1% tic), 26 total matches from 407 peaks;381 unmatched peaks gt 5.0%, Largest unmatched 114.0674865, 22442.69554 75.9% base
Pk_mass	Pk_inten	Delta_mmu	Pk_RT	Pk_index	Mono_pk	Match_mass	Match_root	Match_label
116.0710	29552.1	0.1	0.0	20	20	116.0709	A           	A.H+
117.0737	1449.6	-0.4	0.0	22	20	117.0740	A           	116.0710(+1)
138.0551	28253.7	2.3	0.0	53	53	138.0528	A           	A.Na-H.H+
139.0578	1892.1	-0.2	0.0	55	53	139.0581	A           	138.0551(+1)
140.0595	146.6	-1.6	0.0	57	53	140.0611	A           	138.0551(+2)
141.0640	11.8	-0.1	0.0	60	53	141.0641	A           	138.0551(+3)
154.0254	1574.2	-1.4	0.0	76	76	154.0268	A           	A.K-H.H+
155.0285	62.2	0.1	0.0	78	76	155.0284	A           	154.0254(+1)
160.0362	405.8	1.4	0.0	85	85	160.0348	A           	A.(Na-H)2.H+
161.0379	18.2	-1.4	0.0	87	85	161.0392	A           	160.0362(+1)
176.0109	3264.2	2.2	0.0	107	107	176.0087	A           	A.Na-H.K-H.H+
177.0143	191.4	0.4	0.0	109	107	177.0139	A           	176.0109(+1)
191.9825	690.8	-0.2	0.0	135	135	191.9827	A           	A.(K-H)2.H+
192.9849	15.4	-0.6	0.0	139	135	192.9855	A           	191.9825(+1)
231.1341	557.1	-0.4	0.0	206	206	231.1345	A           	(A)2.H+
232.1356	71.3	-1.5	0.0	209	206	232.1371	A           	231.1341(+1)
253.1168	14.5	0.3	0.0	239	239	253.1165	A           	(A)2.Na-H.H+
269.0872	37.8	-3.2	0.0	270	270	269.0904	A           	(A)2.K-H.H+
275.1002	109.1	1.8	0.0	282	282	275.0984	A           	(A)2.(Na-H)2.H+
291.0719	40.6	-0.5	0.0	300	300	291.0724	A           	(A)2.Na-H.K-H.H+
307.0452	22.2	-1.1	0.0	316	316	307.0463	A           	(A)2.(K-H)2.H+
313.0581	50.3	3.8	0.0	324	324	313.0543	A           	(A)2.(Na-H)2.K-H.H+
314.0612	10.1	0.2	0.0	326	324	314.0611	A           	313.0581(+1)
384.1439	85.9	-1.2	0.0	372	372	384.1451	A           	(A)3.Ca-2H.H+
406.1267	10.6	-0.4	0.0	381	381	406.1271	A           	(A)3.Na-H.Ca-2H.H+
422.1023	19.5	1.3	0.0	384	384	422.1010	A           	(A)3.K-H.Ca-2H.H+
