DiMeSA_m3_5-Na3-H2O;Time:210705_085451;Compounds:DiMeSA;Multimer_limit:3;Polarity:positive;Adducts:('Na-H', 3); Max adduct count:5;Losses:('H2O', 1);Match time: 210705_085608;Peaks file: /Users/ronbonner/Data/SharedData/Test/S_4 MeOH FA pks 0.2 percent.txt;2932 peaks, tic 397185.9, base peak 169.04554, inten 107995.3;Matching amu half window: 0.005;Matching ppm half window: 10 ppm;Looking for <= 4 13C isotopes with half window 0.003;14 peaks matched (38.1% tic), 14 total matches from 2932 peaks;After 13C match 36 peaks matched (40.2% tic), 36 total matches from 2932 peaks;2896 unmatched peaks gt 5.0%, Largest unmatched 463.134308, 42577.39799 39.4% base
Pk_mass	Pk_inten	Delta_mmu	Pk_RT	Pk_index	Mono__pk	Match_mass	Match_root	Match_label
129.0524	3856.4	-2.2	0.0	63	63	129.0546	DiMeSA      	DiMeSA-H2O.H+
130.0551	184.0	-0.3	0.0	65	63	130.0554	DiMeSA      	129.0524(+1)
131.0564	37.2	-1.9	0.0	68	63	131.0584	DiMeSA      	129.0524(+2)
147.0622	1505.1	-3.0	0.0	111	111	147.0652	DiMeSA      	DiMeSA.H+
148.0657	94.3	0.5	0.0	114	111	148.0652	DiMeSA      	147.0622(+1)
149.0676	18.4	-0.6	0.0	119	111	149.0682	DiMeSA      	147.0622(+2)
151.0337	44.9	-2.9	0.0	125	125	151.0366	DiMeSA      	DiMeSA-H2O.Na-H.H+
152.0372	16.5	0.5	0.0	130	125	152.0367	DiMeSA      	151.0337(+1)
169.0455	107995.3	-1.6	0.0	179	179	169.0471	DiMeSA      	DiMeSA.Na-H.H+
170.0473	4139.0	-1.2	0.0	227	179	170.0485	DiMeSA      	169.0455(+1)
171.0490	466.6	-2.6	0.0	307	179	171.0515	DiMeSA      	169.0455(+2)
172.0518	70.3	-2.7	0.0	398	179	172.0545	DiMeSA      	169.0455(+3)
173.0135	27.4	-5.0	0.0	488	488	173.0185	DiMeSA      	DiMeSA-H2O.(Na-H)2.H+
173.0589	19.3	1.3	0.0	493	179	173.0575	DiMeSA      	169.0455(+4)
191.0265	10888.2	-2.6	0.0	621	621	191.0291	DiMeSA      	DiMeSA.(Na-H)2.H+
192.0300	442.4	0.5	0.0	626	621	192.0295	DiMeSA      	191.0265(+1)
193.0310	80.0	-1.5	0.0	630	621	193.0325	DiMeSA      	191.0265(+2)
213.0075	215.2	-3.5	0.0	729	729	213.0110	DiMeSA      	DiMeSA.(Na-H)3.H+
293.1200	100.2	-3.1	0.0	1207	1207	293.1231	DiMeSA      	(DiMeSA)2.H+
294.1240	18.0	1.0	0.0	1213	1207	294.1230	DiMeSA      	293.1200(+1)
295.1276	12.8	1.6	0.0	1221	1207	295.1260	DiMeSA      	293.1200(+2)
315.1017	12866.1	-3.3	0.0	1329	1329	315.1050	DiMeSA      	(DiMeSA)2.Na-H.H+
316.1040	1152.6	-0.7	0.0	1331	1329	316.1047	DiMeSA      	315.1017(+1)
319.0768	130.9	0.4	0.0	1343	1343	319.0764	DiMeSA      	(DiMeSA)2-H2O.(Na-H)2.H+
320.0813	24.5	1.5	0.0	1354	1343	320.0798	DiMeSA      	319.0768(+1)
337.0834	9359.8	-3.6	0.0	1467	1467	337.0870	DiMeSA      	(DiMeSA)2.(Na-H)2.H+
338.0860	870.2	-0.4	0.0	1475	1467	338.0864	DiMeSA      	337.0834(+1)
339.0880	159.1	-1.4	0.0	1480	1467	339.0894	DiMeSA      	337.0834(+2)
340.0908	23.0	-1.6	0.0	1492	1467	340.0924	DiMeSA      	337.0834(+3)
359.0643	3294.2	-4.6	0.0	1620	1620	359.0689	DiMeSA      	(DiMeSA)2.(Na-H)3.H+
360.0678	359.9	0.5	0.0	1625	1620	360.0673	DiMeSA      	359.0643(+1)
465.1385	901.9	4.2	0.0	2104	2104	465.1343	DiMeSA      	(DiMeSA)3-H2O.(Na-H)2.H+
466.1418	129.2	0.3	0.0	2124	2104	466.1415	DiMeSA      	465.1385(+1)
467.1447	34.3	0.1	0.0	2144	2104	467.1445	DiMeSA      	465.1385(+2)
487.1201	58.3	3.8	0.0	2250	2250	487.1163	DiMeSA      	(DiMeSA)3-H2O.(Na-H)3.H+
488.1226	12.9	-0.5	0.0	2254	2250	488.1231	DiMeSA      	487.1201(+1)
